,,,,,,,,
,,,,,,,,
,,DESCRIPCIÓN PAGO,CATEGORIA,VALOR,FECHA,Columna 1,Total,"$142,862,904"
,,PARQUEADERO EN PROAS,CAMIONETA,"$18,000",12-12-2025,,,
,,GASOLINA CAMIONETA UFZ624,CAMIONETA,"$50,000",12-12-2025,,,
,,PEAJE SALIDA BOGOTA,CAMIONETA,"$12,000",12-12-2025,,,
,,DESAYUNO CHIA  - ANDRES R,ANDRES R,"$13,000",12-12-2025,,,
,,ALMUERZO - ANDRES R,ANDRES R,"$16,000",12-12-2025,,,
,,CENA ANDRES R Y SOL,ANDRES R,"$20,000",12-12-2025,,,
,,CELULAR ANDRES R,ANDRES R,"$50,000",12-12-2025,,,
,,PARQUE MENSUAL ANDRES R,ANDRES R,"$80,000",12-12-2025,,,
,,PARQUEADERO EN LA 93,CAMIONETA,"$22,500",13-12-2025,,,
,,VIDRIOS VENTANA PUERTA NUEVA APTO 309,PROAS,"$170,000",13-12-2025,,,
,,DESAYUNO - GASOLINA - ALMUERZO DAV,CAMIONETA,"$163,900",13-12-2025,,,
,,COMPRA DE MUEBLE LAVAMANOS GRANITO ROJO,Earth Park,"$500,000",13-12-2025,,,
,,PARQUEADERO 72,CAMIONETA,"$10,000",13-12-2025,,,
,,HERRAJES EN FERRILAGOS,PROAS,"$54,800",13-12-2025,,,
,,TOLUA AMDERAS Y HERRAJES,PROAS,"$423,000",13-12-2025,,,
,,COMPRA HERRAJES E INSUMOS ADEL MAHUMUD,PROAS,"$180,000",13-12-2025,,,
,,CHAPAS NEGRAS HABITACION Y BAÑO,PROAS,"$125,000",13-12-2025,,,
,,PAGO NEQUI  A FABIO HERNANDEZ 3183504259,,"$130,400",16-12-2025,,,
,,PAGO A NEQUI 3143439457,,"$800,000",19-12-2025,,,
,,SEGUNDO PAGO - MANO OBRA JAIRO PISSO,PROAS,"$2,000,000",19-12-2025,,,
,,LLANTA REPUESTO CAMIONETA,CAMIONETA,"$400,000",19-12-2025,,,
,,RIN 16 DE REPUESTO CAMIONETA,CAMIONETA,"$500,000",19-12-2025,,,
,,Pago Adicionales Jairo,PROAS,"$850,000",23-12-2025,,,
,,Cortinas ,PROAS,"$1,700,000",23-12-2025,,,
,,Compra Portátil Earth Park,Earth Park,"$2,300,000",31-12-2025,,,
,,PRIMER PAGO MANO OBRA ALEXANDER VIRGUES - APTO 204,APTO 204,"$500,000",2-1-2026,,,
,,SEGUNDO PAGO MANO OBRA ALEXANDER VIRGUES - APTO 204,APTO 204,"$1,000,000",3-1-2026,,,
,,LAMINAS DE ETERBOAR - CINTA -PEGACOR - VIGUETAS Y PARALES,APTO 204,"$776,000",5-1-2026,,,
,,BALDOSA BAÑO PRIMERA TANDA ,APTO 204,"$230,000",5-1-2026,,,
,,TRANSPORTE CAMION,APTO 204,"$80,000",5-1-2026,,,
,,TERCER PAGO MANO OBRA ALEXANDER VIRGUES - APTO 204,APTO 204,"$1,000,000",6-1-2026,,,
,,ESTRUCTURA METALICA PARA MURO RIEL,APTO 204,"$160,000",6-1-2026,,,
,,DIVISIÓN DEL VIDRIO BAÑO 8MM - PRIMER PAGO,APTO 204,"$500,000",6-1-2026,,,
,,MANO DE OBRA ENCHAPE TODO EL BAÑO - PRIMER PAGO,APTO 204,"$1,000,000",6-1-2026,,,
,,5 WINNES ,APTO 204,"$180,000",6-1-2026,,,
,,2 REJILLAS NEGRAS BAÑO,APTO 204,"$100,000",6-1-2026,,,
,,NIVELADOR PUERTA PRINCIPAL,APTO 204,"$28,000",6-1-2026,,,
,,INODORO BAÑO,APTO 204,"$420,000",6-1-2026,,,
,,MEZCLADOR/LLAVE NEGRA DUCHA,APTO 204,"$110,000",6-1-2026,,,
,,BALDOSA BLANCA BAÑO PARED NICHO,APTO 204,"$160,000",8-1-2026,,,
,,5 TOALLAS BLANCA TIPO HOTEL Y 6 TAPETES BAÑO EN ONLY,Earth Park,"$240,400",8-1-2026,,,
,,4 SABANAS BLANCAS TIPO HOTEL CAMA DOBLE,Earth Park,"$180,000",8-1-2026,,,
,,ALMUERZO,ANDRES ROA,"$15,000",8-1-2026,,,
,,TOMAS ELECTRICAS STIWCHES Y LAMPARAS,APTO 204,"$303,400",8-1-2026,,,
,,LAVADORA FRONTAL WHRIPOLL BLANCA 16KG - ABONO PAGO #1,APTO 204,"$1,000,000",8-1-2026,,,
,,37 METROS INSTALADOS DE TECHO PVC CON ELECTRICOS,Earth Park,"$692,000",8-1-2026,,,
,,PRIMER PAGO CARPINTERO JUAN LOPEZ,APTO 204,"$4,000,000",8-1-2026,,,
,,CUARTO PAGO MANO OBRA ALEXANDER VIRGUES - APTO 204,APTO 204,"$1,500,000",10-1-2026,,,
,,PRIMER PAGO DE AVALUOS APTO204,APTO 204,"$100,000",15-1-2026,,,
,,PRIMER PAGO DE AVALUOS APTO309,PROAS,"$100,000",15-1-2026,,,
,,Pago bultos de cemento ,Earth Park,"$192,000",16-1-2026,,,
,,pago de materiales placa hotel,Earth Park,"$3,279,500",16-1-2026,,,
,,TRNASPORTE ESCOMBROS CAMION ,APTO 204,"$120,000",16-1-2026,,,
,,LAVADORA FRONTAL WHRIPOLL BLANCA 16KG -  PAGO #2,APTO 204,"$1,350,000",17-1-2026,,,
,,QUINTO PAGO MANO OBRA ALEXANDER VIRGUES - APTO 204,APTO 204,"$1,500,000",17-1-2026,,,
,,PAGO 100K EXTRA FERRETERIA MATERIALES PLACA HOTEL,Earth Park,"$110,000",17-1-2026,,,
,,TRANSPORTE MATERIALES PARA EARTHPARK CAMION,Earth Park,"$100,000",17-1-2026,,,
,,Avaluos 204 y 309,APTO 204,"$600,000",19-1-2026,,,
,,SEGUNDO PAGO CARPINTERO JUAN LOPEZ,APTO 204,"$1,800,000",19-1-2026,,,"$5,100,000"
,,Pago de trnasporte LAVADORA/secadora,APTO 204,"$50,000",21-1-2026,,,
,,PRIMER PAGO AVALUOS TOCANCIPÁ,TOCANCIPÁ,"$600,000",21-1-2026,,,
,,GASOLINA MOTO ZUW25F,ANDRES ROA,"$38,000",21-1-2026,,,
,,MATERIALES PLACA 2 EARTH PARK - REEMBOLSO BANCOLOMBIA,Earth Park,"$1,900,000",21-1-2026,,,
,,PAGO EARTH PARK -PERGOLA,Earth Park,"$970,000",21-1-2026,,,
,,ALMUERZO,ANDRES ROA,"$15,000",21-1-2026,,,
,,ANDAMIOS,APTO 204,"$85,000",21-1-2026,,,
,,AGENDAS,ANDRES ROA,"$45,000",26-1-2026,,,
,,4 Panales 34WK  blanco sobreponer LUZ BLANCA,APTO 204,"$56,000",26-1-2026,,,
,,DIVISIÓN DEL VIDRIO BAÑO 8MM - SEGUNDO PAGO,APTO 204,"$420,000",27-1-2026,,,
,,Materiales pendientes ALEX VIRGUES - CHANFLES,APTO 204,"$150,000",27-1-2026,,,
,,MANO DE OBRA ENCHAPE TODO EL BAÑO - SEGUNDO PAGO,APTO 204,"$900,000",27-1-2026,,,
,,BOQUILLA Y PEGACOR,APTO 204,"$27,000",27-1-2026,,,
,,TERCER PAGO CARPINTERO JUAN LOPEZ,APTO 204,"$1,000,000",30-1-2026,,,
,,CUARTO PAGO CARPINTERO JUAN LOPEZ,APTO 204,"$350,000",7-2-2026,,,
,,QUINTO PAGO CARPINTERO JUAN LOPEZ,APTO 204,"$500,000",11-2-2026,,,
,,PAGO MALLA ESLABONADA CALIBRE 12.5 81MTS,Earth Park,"$2,025,000",11-2-2026,,,
,,MATERIALES TUBOS PAGO A NEQUI,Earth Park,"$1,183,000",12-2-2026,,,
,,SEGUNDO PAGO AVALUOS TOCANCIPÁ,TOCANCIPÁ,"$500,000",17-2-2026,,,
,,SEXTO PAGO MANO OBRA ALEXANDER VIRGUES - APTO 204,APTO 204,"$1,200,000",18-2-2026,,,
,,PAGO MATERIALES EXTRAS APTO 309 - ULTIMOS ARREGLOS,PROAS,"$100,000",18-2-2026,,,
,,PAGO MATERIALES EXTRAS APTO 309 - ULTIMOS ARREGLOS,PROAS,"$300,000",18-2-2026,,,
,,MATRICULA MAESTRIA PIPE,ANDRES ROA,"$6,051,000",20-2-2026,DEBE,,
,,CARPINTERO JUAN,APTO 204,"$600,000",21-2-2026,,,
,,PAGO ALEX APTO 204,APTO 204,"$600,000",21-2-2026,,,
,,ASEO APTO 204,APTO 204,"$70,000",21-2-2026,,,
,,PAGO CEMENTO,Earth Park,"$264,000",24-2-2026,BULTOS CEMENTO EARTH PARK,,
,,PAGO MAESTRO ALEXANDER,PROAS,"$300,000",24-2-2026,,,
,,CARPINTERO JUAN,APTO 204,"$1,095,000",24-2-2026,,,
,,PAGO ARREGLO CAMIONETA EDWIN GARZON ,CAMIONETA,"$450,000",25-2-2026,,,
,,GASTOS PIPE ,ANDRES ROA,"$200,000",25-2-2026,DEBE,,
,,Carpintero Juan 204 y 309,APTO 204,"$180,000",10-3-2026,,,
,,Asesoria tributaria,CORP R&R,"$234,000",11-3-2026,,,
,,Arreglo Camioneta Don Alirio,CAMIONETA,"$245,000",27-3-2026,,,
,,Administración apto 204 de enero a abril,APTO 204,"$1,400,000",15-4-2026,,,
,,Pago impuesto predial apto 309,PROAS,"$590,000",16-4-2026,,,
,,Pago impuesto predial apto 240,APTO 204,"$527,000",16-4-2026,,,
,,Pago impuesto predial Macanal,Earth Park,"$20,335",16-4-2026,,,
,,Pago impuesto vehicular camioneta UFZ,CAMIONETA,"$643,700",16-4-2026,,,
,,Espejo apto 309,PROAS,"$280,000",18-4-2026,,,
,,Espejo apto 204,APTO 204,"$280,000",,,,
,,Andrea Gaitan- Olguita pidio ese pago,Earth Park,"$260,000",23-4-2026,,,
,,,,"$122,000",24-4-2026,,,
,,Gas,APTO 204,"$20,860",24-4-2026,,,
,,Prestamo Pipe,Otro,"$50,000",29-4-2026,,,
,,Pago alex maestro,APTO 204,"$150,000",29-4-2026,,,
,,Soldador Jorge Cantor,Earth Park,"$1,200,000",9-5-2026,,,
,,Administracion apto 204,APTO 204,"$364,000",12-4-2026,,,
,,Compra meterial,Earth Park,"$428,500",12-5-2026,Se le debe a Pipe,,
,,Luz apto 204 abril y mayo,APTO 204,"$199,550",13-5-2026,Se le debe a Pipe,,
,,Internet 204,APTO 204,"$105,259",13-5-2026,Se le debe a Pipe,,
,,Compra meterial,Earth Park,"$227,500",15-5-2026,Se le debe a Pipe,,
,,Compra material,Earth Park,"$216,000",20-5-2026,Se le debe a Pipe,,
